"Titles","Runners-up","Third place","Team","Fourth place","Top 4 total"
"5 (1958, 1962, 1970, 1994, 2002)","2 (1950*, 1998)","2 (1938, 1978)","Brazil","2 (1974, 2014*)","11"
"4 (1954, 1974*, 1990, 2014)","4 (1966, 1982, 1986, 2002)","4 (1934, 1970, 2006*, 2010)","Germany1","1 (1958)","13"
"4 (1934*, 1938, 1982, 2006)","2 (1970, 1994)","1 (1990*)","Italy","1 (1978)","8"
"3 (1978*, 1986, 2022)","3 (1930, 1990, 2014)","","Argentina","","6"
"2 (1998*, 2018)","2 (2006, 2022)","2 (1958, 1986)","France","1 (1982)","7"
"2 (1930*, 1950)","","","Uruguay","3 (1954, 1970, 2010)","5"
"1 (1966*)","","","England","2 (1990, 2018)","3"
"1 (2010)","","","Spain","1 (1950)","2"
"","3 (1974, 1978, 2010)","1 (2014)","Netherlands","1 (1998)","5"
"","2 (1938, 1954)","","Hungary","","2"
"","2 (1934, 1962)","","Czech Republic2","","2"
"","1 (1958*)","2 (1950, 1994)","Sweden","1 (1938)","4"
"","1 (2018)","2 (1998, 2022)","Croatia","","3"
"","","2 (1974, 1982)","Poland","","2"
"","","1 (1954)","Austria","1 (1934)","2"
"","","1 (1966)","Portugal","1 (2006)","2"
"","","1 (2018)","Belgium","1 (1986)","2"
"","","1 (1930)","United States","","1"
"","","1 (1962*)","Chile","","1"
"","","1 (2002)","Turkey","","1"
"","","","Serbia3","2 (1930, 1962)","2"
"","","","Russia4","1 (1966)","1"
"","","","Bulgaria","1 (1994)","1"
"","","","South Korea","1 (2002*)","1"
"","","","Morocco","1 (2022)","1"